Product ID,Product Name,Category 1,Category 2,Category 3,Category 4,Category 5,Discounted Price,Orignal Price,Discount,User Rating,Number Of Rating
B08B6XWQ1C,DIGITEK® (DTR-200MT) (18 CM) Portable & Flexible Mini Tripod,Electronics,Cameras&Photography,Accessories,Tripods&Monopods,TripodLegs,349,995,0.65,4.2,6676
B01DGVKBC6,"FEDUS Cat6 Ethernet Cable, 10 Meter High Speed 550MHZ / 10 Gi",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,EthernetCables,287,499,0.42,4.4,8076
B008FWZGSG,"Samsung Original Type C to C Cable - 3.28 Feet (1 Meter), Whi",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables,599,599,0,4.3,355
B08JD36C6H,Kingston DataTraveler Exodia DTX/32 GB Pen Drive USB 3.2 Gen ,Computers&Accessories,ExternalDevices&DataStorage,PenDrives,,,349,450,0.22,4.1,18656
B00E3DVQFS,"Duracell Rechargeable AA 2500mAh Batteries, 4 Pcs",Electronics,GeneralPurposeBatteries&BatteryChargers,DisposableBatteries,,,879,"1,109",0.21,4.4,31599
B0B4HJNPV4,pTron Solero T351 3.5Amps Fast Charging Type-C to Type-C PD D,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables,199,999,0.8,3.9,1075
B00BN5SNF0,"ENVIE® (AA10004PLNi-CD) AA Rechargeable Batteries, Low Self ",Electronics,GeneralPurposeBatteries&BatteryChargers,RechargeableBatteries,,,250,250,0,3.9,13971
B09SGGRKV8,ZEBRONICS Zeb-Buds 30 3.5Mm Stereo Wired in Ear Earphones wit,Electronics,"Headphones,Earbuds&Accessories",Headphones,In-Ear,,199,499,0.6,3.6,2492
B07XLCFSSN,"Amazonbasics Nylon Braided Usb-C To Lightning Cable, Fast Cha",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables,899,"1,900",0.53,4.4,13552
B09RZS1NQT,"Sounce 65W OnePlus Dash Warp Charge Cable, 6.5A Type-C to USB",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables,199,999,0.8,4,575
B084BR3QX8,LAPSTER Accessories Power Cable Cord 2 Pin Laptop Adapter and,Computers&Accessories,Accessories&Peripherals,LaptopAccessories,LaptopChargers&PowerSupplies,,149,999,0.85,3.5,2523
B09VC2D2WG,Portronics Ruffpad 12E Re-Writable LCD Writing Pad with 30.4c,Computers&Accessories,Accessories&Peripherals,"Keyboards,Mice&InputDevices",GraphicTablets,,469,"1,499",0.69,4.1,352
B09163Q5CD,Verilux® USB C Hub Multiport Adapter- 6 in 1 Portable Alumin,Computers&Accessories,Accessories&Peripherals,USBHubs,,,"1,187","1,929",0.38,4.1,1662
B08K9PX15C,Zebronics Zeb Wonderbar 10 USB Powered 2.0 Computer Speaker w,Computers&Accessories,Accessories&Peripherals,Audio&VideoAccessories,PCSpeakers,,849,"1,499",0.43,4,7352
B083RD1J99,"HP Wired Mouse 100 with 1600 DPI Optical Sensor, USB Plug-and",Computers&Accessories,Accessories&Peripherals,"Keyboards,Mice&InputDevices",Mice,,328,399,0.18,4.1,3441
B09Z7YGV3R,Anjaney Enterprise Smart Multipurpose Foldable Laptop Table w,Computers&Accessories,Accessories&Peripherals,LaptopAccessories,Lapdesks,,269,699,0.62,4,93
B00N3XLDW0,ENVIE ECR-20 Charger for AA & AAA Rechargeable Batteries,Electronics,Cameras&Photography,Accessories,Batteries&Chargers,BatteryChargers,299,400,0.25,3.8,40895
B07Z53L5QL,ProElite Faux Leather Smart Flip Case Cover for Apple iPad 10,Computers&Accessories,Accessories&Peripherals,TabletAccessories,"Bags,Cases&Sleeves",Cases,549,"1,499",0.63,4.3,11006
B00P93X0VO,"Classmate Pulse 6 Subject Notebook - Unruled, 300 Pages, Spir",OfficeProducts,OfficePaperProducts,Paper,Stationery,"Notebooks,WritingPads&Diaries",114,120,0.05,4.2,8938
B07SBGFDX9,"Pentonic Multicolor Ball Point Pen, Pack of 10",OfficeProducts,OfficePaperProducts,Paper,Stationery,"Pens,Pencils&WritingSupplies",120,120,0,4.1,4308
B09C6HWG18,Duracell Type C To Type C 5A (100W) Braided Sync & Fast Charg,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables,970,"1,999",0.51,4.2,462
B00NH11KIK,AmazonBasics USB 2.0 Cable - A-Male to B-Male - for Personal ,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables,209,695,0.7,4.5,107686
B07X2L5Z8C,Logitech Pebble M350 Wireless Mouse with Bluetooth or USB - S,Computers&Accessories,Accessories&Peripherals,"Keyboards,Mice&InputDevices",Mice,,"1,490","2,295",0.35,4.6,10652
B00VA7YYUO,Apsara Platinum Pencils Value Pack - Pack of 20,Home&Kitchen,CraftMaterials,DrawingMaterials,DrawingMedia,Pencils,99,99,0,4.3,5036
